City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,altay,47.8667,88.1167,18.84,32,0,3.12,CN,1722798542
224,gagarin,55.5529,34.9954,14.39,91,0,2.39,RU,1722798651
225,lagunillas,10.1301,-71.2595,31.23,67,0,4.44,VE,1722798652
226,puerto armuelles,8.2833,-82.8667,27.83,83,100,1.34,PA,1722798653
227,ojinaga,29.5667,-104.4167,35.53,24,0,4.12,MX,1722798654
228,shingu,33.7333,135.9833,25.27,92,0,1.17,JP,1722798588
229,luganville,-15.5333,167.1667,21.59,72,95,4.73,VU,1722798657
230,kuqa,41.7278,82.9364,27.22,36,99,1.75,CN,1722798658
231,opuwo,-18.0607,13.84,20.36,30,0,2.83,NA,1722798660
232,kuanda,56.3161,116.0806,11.34,95,15,0.74,RU,1722798661
233,aquitania,5.5197,-72.8875,16.23,68,100,3.15,CO,1722798662
234,sena madureira,-9.0656,-68.6569,35.04,34,100,0.24,BR,1722798663
235,rochefort-du-gard,43.9765,4.6902,27.76,48,0,8.75,FR,1722798664
236,ballito,-29.539,31.2144,21.08,64,100,7.2,ZA,1722798665
237,bozeman,45.6796,-111.0386,25.62,38,75,2.06,US,1722798666
238,lazaro cardenas,17.9583,-102.2,30.96,59,98,3.41,MX,1722798667
239,primero de enero,21.9469,-78.4283,33.87,50,93,3.63,CU,1722798668
240,kerikeri,-35.2268,173.9474,9.95,89,96,2.24,NZ,1722798669
241,ban phan don,17.1427,102.9726,23.65,91,72,1.6,TH,1722798670
242,san andres,12.5847,-81.7006,32.01,70,20,4.12,CO,1722798671
243,stara vyzhivka,51.4376,24.44,19.91,49,97,2.15,UA,1722798672
244,ust-nera,64.5667,143.2,9.09,80,28,1.9,RU,1722798673
245,alotau,-10.3069,150.4462,22.47,97,100,2.35,PG,1722798504
246,rodionovo-nesvetaiskoye,47.6,39.7,25.12,54,95,2.15,RU,1722798675
247,qaqortoq,60.7167,-46.0333,8.74,71,0,3.3,GL,1722798676
248,sodankyla,67.4167,26.6,16.09,72,14,1.91,FI,1722798677
249,stjordalshalsen,63.4681,10.9262,18.0,82,40,4.63,NO,1722798678
250,arivonimamo,-19.0167,47.1833,11.03,60,0,1.65,MG,1722798680
251,greiz,50.65,12.2,18.57,73,100,2.89,DE,1722798681
252,naze,28.3667,129.4833,27.57,83,22,5.35,JP,1722798682
253,fort mcmurray,56.7268,-111.381,22.73,43,0,3.6,CA,1722798683
254,rongelap,11.1635,166.8941,28.38,78,77,4.2,MH,1722798684
255,panamaram,11.7404,76.0738,19.9,99,89,1.14,IN,1722798685
256,shetpe,44.1667,52.1167,26.73,44,100,4.3,KZ,1722798686
257,iquique,-20.2208,-70.1431,18.02,76,16,2.84,CL,1722798112
258,as sulayyil,20.4607,45.5779,37.14,14,100,3.67,SA,1722798688
259,rio grande,-32.035,-52.0986,13.3,95,100,2.25,BR,1722798689
260,karymskoye,51.6167,114.35,12.54,93,0,0.95,RU,1722798691
261,constantia,44.1833,28.65,22.38,58,12,3.12,RO,1722798422
262,yatou,37.15,122.3833,25.34,86,99,4.53,CN,1722798693
263,conduaga,8.862,117.4893,25.97,87,100,1.04,PH,1722798694
264,beyneu,45.3167,55.2,32.87,22,72,3.58,KZ,1722798684
265,svilengrad,41.7667,26.2,22.59,58,0,1.34,BG,1722798696
266,piti village,13.4626,144.6933,25.2,92,40,1.54,GU,1722798697
267,waingapu,-9.6567,120.2641,22.74,90,12,3.32,ID,1722798698
268,morondava,-20.2833,44.2833,21.93,75,0,4.19,MG,1722798699
269,chamical,-30.36,-66.314,20.94,25,5,7.33,AR,1722798700
270,miles city,46.4083,-105.8406,31.54,42,0,0.0,US,1722798701
271,hazaribagh,23.9833,85.35,23.86,89,21,3.17,IN,1722798702
272,san patricio,28.017,-97.5169,33.54,40,2,3.29,US,1722798703
273,chebba,35.2372,11.115,28.45,61,0,9.5,TN,1722798704
274,kununurra,-15.7667,128.7333,16.99,88,0,1.03,AU,1722798705
